subject	session	changed_voxel_percentage	changed_voxel_count	mean_difference	max_difference
sub-069	ses-01	26.372626201923076	5266086.0	153.6491831107664	4095.0
sub-069	ses-01	26.39931390224359	5271415.0	163.1999907983041	4095.0
sub-069	ses-01	19.92766711176658	1919790.0	2.4501237735907866	319.0
sub-070	ses-01	35.55850861378205	7100323.0	249.66133539707582	4095.0
sub-070	ses-01	36.036192908653845	7195707.0	308.15594194532025	4095.0
sub-071	ses-01	25.08212640224359	5008399.0	208.23191867808052	4095.0
sub-071	ses-01	23.061363181089742	4604893.0	178.17218771126073	4095.0
sub-071	ses-01	14.658713827327807	1412190.0	1.937183675733013	317.0
sub-072	ses-01	23.94188201121795	4780715.0	108.37003165698452	4095.0
sub-072	ses-01	24.084074519230768	4809108.0	100.83168341824813	4095.0
sub-072	ses-01	13.500696299027423	1300629.0	1.641371028805701	196.0
sub-073	ses-01	29.252969751602564	5841233.0	119.16874121189385	4095.0
sub-073	ses-01	29.05158253205128	5801020.0	117.35737280416122	4095.0
sub-073	ses-01	22.9413298522534	2210120.0	2.4054397644805556	349.0
sub-074	ses-01	22.51063201121795	4494923.0	126.80455601175468	4095.0
sub-074	ses-01	22.450525841346153	4482921.0	120.50604558127483	4095.0
sub-074	ses-01	14.108805753746811	1359213.0	1.9302459066136284	306.0
sub-075	ses-01	27.72022736378205	5535175.0	156.06908989224254	4095.0
sub-075	ses-01	27.87569110576923	5566218.0	153.50465615001974	4095.0
sub-075	ses-01	17.67604075321535	1702873.0	1.9765656010828456	279.0
sub-076	ses-01	24.265349559294872	4845305.0	172.9159326148014	4095.0
sub-076	ses-01	24.562339743589742	4904608.0	172.85598338056127	4095.0
sub-077	ses-01	25.98105969551282	5187898.0	112.8055214263806	4095.0
sub-077	ses-01	26.140539863782053	5219743.0	110.81302902260943	4095.0
sub-077	ses-01	22.427035999946852	2160574.0	2.2866705074664533	352.0
sub-078	ses-01	29.196218950320514	5829901.0	89.56575333995224	4095.0
sub-078	ses-01	28.373457532051283	5665612.0	83.76391058778725	4095.0
sub-078	ses-01	22.981801973719175	2214019.0	2.7372651389210114	317.0
sub-079	ses-01	17.59748096955128	3513865.0	90.3196180760881	4095.0
sub-079	ses-01	16.796749799679485	3353975.0	75.29670589513404	4095.0
sub-079	ses-01	18.17083034385629	1750540.0	2.02856358605549	231.0
sub-080	ses-01	9.640544871794871	1925024.0	50.45261703305959	4095.0
sub-080	ses-01	9.944866786858974	1985791.0	32.591435743739204	3360.0
sub-080	ses-01	13.531712123325892	1303617.0	1.6607112011414045	205.0
sub-081	ses-01	23.16649639423077	4625886.0	92.23563023933472	4095.0
sub-081	ses-01	23.04249799679487	4601126.0	82.86984605602647	4095.0
sub-081	ses-01	19.396474410076532	1868616.0	2.474523804010536	336.0
sub-082	ses-01	18.805994591346153	3755181.0	164.51035236886545	4095.0
sub-082	ses-01	19.128455528846153	3819570.0	150.29194189147455	4095.0
sub-082	ses-01	10.779047336708121	1038431.0	1.747450812446566	300.0
sub-083	ses-01	9.878751001602565	1972589.0	58.89568138260495	4095.0
sub-083	ses-01	9.963156049679487	1989443.0	41.10054772435176	4095.0
sub-083	ses-01	11.25119786684205	1083917.0	1.5702540906491629	382.0
sub-084	ses-01	22.60711137820513	4514188.0	199.79363833229178	4095.0
sub-084	ses-01	21.784129607371796	4349855.0	181.99011123477916	4095.0
sub-084	ses-01	12.76655132267751	1229903.0	2.0276671530471724	196.0
