scan_id	subject	session	run	protocol_id	status	review_class	mean_length	axis_flipped	axis_permutations	axis_basis
sub-025_ses-02_run-01_dwi	sub-025	ses-02	run-01	Protocol A	PASS	none	43.64	none	(0,1,2)	scanner
sub-025_ses-02_run-02_dwi	sub-025	ses-02	run-02	Protocol A	REVIEW	axis_flip	50.83	2	(0,1,2)	scanner
sub-025_ses-02_run-05_dwi	sub-025	ses-02	run-05	Protocol B	PASS	none	45.26	none	(0,1,2)	scanner
sub-026_ses-01_run-01_dwi	sub-026	ses-01	run-01	Protocol A	PASS	none	44.75	none	(0,1,2)	scanner
sub-026_ses-01_run-02_dwi	sub-026	ses-01	run-02	Protocol A	REVIEW	axis_flip_and_swap	56.06	2	(0,2,1)	image
sub-026_ses-01_run-05_dwi	sub-026	ses-01	run-05	Protocol B	PASS	none	37.09	none	(0,1,2)	scanner
sub-026_ses-02_run-01_dwi	sub-026	ses-02	run-01	Protocol A	PASS	none	43.73	none	(0,1,2)	scanner
sub-026_ses-02_run-02_dwi	sub-026	ses-02	run-02	Protocol A	REVIEW	axis_swap	21.47	0	(0,2,1)	scanner
sub-026_ses-02_run-05_dwi	sub-026	ses-02	run-05	Protocol B	PASS	none	40.44	none	(0,1,2)	image
sub-027_ses-01_run-01_dwi	sub-027	ses-01	run-01	Protocol A	PASS	none	36.51	none	(0,1,2)	image
sub-027_ses-01_run-02_dwi	sub-027	ses-01	run-02	Protocol A	REVIEW	axis_flip_and_swap	17.83	2	(1,0,2)	image
sub-027_ses-01_run-05_dwi	sub-027	ses-01	run-05	Protocol B	PASS	none	32.60	none	(0,1,2)	image
sub-027_ses-02_run-01_dwi	sub-027	ses-02	run-01	Protocol A	PASS	none	30.28	none	(0,1,2)	image
sub-027_ses-02_run-02_dwi	sub-027	ses-02	run-02	Protocol A	REVIEW	axis_flip_and_swap	30.54	1	(1,0,2)	scanner
sub-027_ses-02_run-05_dwi	sub-027	ses-02	run-05	Protocol B	PASS	none	37.50	none	(0,1,2)	image
sub-028_ses-01_run-01_dwi	sub-028	ses-01	run-01	Protocol A	PASS	none	39.24	none	(0,1,2)	image
sub-028_ses-01_run-02_dwi	sub-028	ses-01	run-02	Protocol A	REVIEW	axis_swap	19.32	none	(1,2,0)	image
sub-028_ses-01_run-05_dwi	sub-028	ses-01	run-05	Protocol B	PASS	none	43.94	none	(0,1,2)	scanner
sub-028_ses-02_run-01_dwi	sub-028	ses-02	run-01	Protocol A	PASS	none	42.15	none	(0,1,2)	scanner
sub-028_ses-02_run-02_dwi	sub-028	ses-02	run-02	Protocol A	REVIEW	axis_flip_and_swap	17.77	1	(2,0,1)	scanner
sub-028_ses-02_run-05_dwi	sub-028	ses-02	run-05	Protocol B	PASS	none	46.45	none	(0,1,2)	image
sub-029_ses-01_run-01_dwi	sub-029	ses-01	run-01	Protocol A	PASS	none	46.01	none	(0,1,2)	image
sub-029_ses-01_run-02_dwi	sub-029	ses-01	run-02	Protocol A	REVIEW	axis_flip_and_swap	63.94	1	(1,0,2)	scanner
sub-029_ses-01_run-05_dwi	sub-029	ses-01	run-05	Protocol B	PASS	none	43.11	none	(0,1,2)	image
sub-029_ses-02_run-01_dwi	sub-029	ses-02	run-01	Protocol A	PASS	none	39.63	none	(0,1,2)	image
sub-029_ses-02_run-02_dwi	sub-029	ses-02	run-02	Protocol A	PASS	none	22.07	none	(0,1,2)	scanner
sub-029_ses-02_run-05_dwi	sub-029	ses-02	run-05	Protocol B	PASS	none	42.56	none	(0,1,2)	scanner
sub-030_ses-01_run-01_dwi	sub-030	ses-01	run-01	Protocol A	PASS	none	41.87	none	(0,1,2)	image
sub-030_ses-01_run-02_dwi	sub-030	ses-01	run-02	Protocol A	REVIEW	axis_swap	75.44	none	(0,2,1)	scanner
sub-030_ses-01_run-05_dwi	sub-030	ses-01	run-05	Protocol B	PASS	none	39.34	none	(0,1,2)	image
sub-030_ses-02_run-01_dwi	sub-030	ses-02	run-01	Protocol A	PASS	none	46.69	none	(0,1,2)	scanner
sub-030_ses-02_run-02_dwi	sub-030	ses-02	run-02	Protocol A	REVIEW	axis_flip_and_swap	16.89	2	(1,2,0)	image
sub-030_ses-02_run-05_dwi	sub-030	ses-02	run-05	Protocol B	PASS	none	44.23	none	(0,1,2)	image
sub-031_ses-01_run-01_dwi	sub-031	ses-01	run-01	Protocol A	PASS	none	53.75	none	(0,1,2)	image
sub-031_ses-01_run-02_dwi	sub-031	ses-01	run-02	Protocol A	REVIEW	axis_swap	19.53	none	(1,2,0)	scanner
sub-031_ses-01_run-05_dwi	sub-031	ses-01	run-05	Protocol B	PASS	none	43.99	none	(0,1,2)	scanner
sub-031_ses-02_run-01_dwi	sub-031	ses-02	run-01	Protocol A	PASS	none	55.33	none	(0,1,2)	image
sub-031_ses-02_run-02_dwi	sub-031	ses-02	run-02	Protocol A	REVIEW	axis_swap	65.81	0	(0,2,1)	scanner
sub-031_ses-02_run-05_dwi	sub-031	ses-02	run-05	Protocol B	PASS	none	44.73	none	(0,1,2)	scanner
sub-032_ses-01_run-01_dwi	sub-032	ses-01	run-01	Protocol A	PASS	none	46.59	none	(0,1,2)	image
sub-032_ses-01_run-02_dwi	sub-032	ses-01	run-02	Protocol A	REVIEW	axis_swap	36.58	none	(2,1,0)	image
sub-032_ses-01_run-05_dwi	sub-032	ses-01	run-05	Protocol B	PASS	none	46.35	none	(0,1,2)	image
sub-033_ses-01_run-01_dwi	sub-033	ses-01	run-01	Protocol D	REVIEW	axis_swap	86.20	none	(2,0,1)	scanner
sub-033_ses-01_run-02_dwi	sub-033	ses-01	run-02	Protocol D	REVIEW	axis_swap	135.16	0	(2,0,1)	scanner
sub-034_ses-01_run-01_dwi	sub-034	ses-01	run-01	Protocol A	PASS	none	43.56	none	(0,1,2)	image
sub-034_ses-01_run-02_dwi	sub-034	ses-01	run-02	Protocol A	REVIEW	axis_flip_and_swap	70.12	2	(1,0,2)	scanner
sub-034_ses-01_run-05_dwi	sub-034	ses-01	run-05	Protocol B	PASS	none	37.92	none	(0,1,2)	scanner
sub-034_ses-02_run-01_dwi	sub-034	ses-02	run-01	Protocol A	PASS	none	49.39	none	(0,1,2)	image
sub-034_ses-02_run-02_dwi	sub-034	ses-02	run-02	Protocol A	REVIEW	axis_swap	21.73	none	(1,2,0)	scanner
sub-034_ses-02_run-05_dwi	sub-034	ses-02	run-05	Protocol B	PASS	none	39.73	none	(0,1,2)	scanner
sub-035_ses-01_run-01_dwi	sub-035	ses-01	run-01	Protocol A	PASS	none	38.16	none	(0,1,2)	scanner
sub-035_ses-01_run-02_dwi	sub-035	ses-01	run-02	Protocol A	REVIEW	axis_flip_and_swap	24.13	1	(1,0,2)	image
sub-035_ses-01_run-05_dwi	sub-035	ses-01	run-05	Protocol B	PASS	none	38.50	none	(0,1,2)	scanner
sub-035_ses-02_run-01_dwi	sub-035	ses-02	run-01	Protocol A	PASS	none	43.59	none	(0,1,2)	scanner
sub-035_ses-02_run-02_dwi	sub-035	ses-02	run-02	Protocol A	REVIEW	axis_swap	59.93	none	(1,0,2)	image
