scan_id	subject	session	run	protocol_id	mask_file_present	mask_voxels	voxel_volume_mm3	brain_volume_mm3	brain_fraction
sub-023_ses-01_run-02_dwi	sub-023	ses-01	run-02	Protocol A	False	451351.0	5.0	2256755.0	0.3108477961432507
sub-023_ses-01_run-05_dwi	sub-023	ses-01	run-05	Protocol B	False	213823.0	3.440937599167228	735751.6002667343	0.261014404296875
sub-023_ses-02_run-01_dwi	sub-023	ses-02	run-01	Protocol A	False	228138.0	5.0	1140690.0	0.1571198347107438
sub-023_ses-02_run-02_dwi	sub-023	ses-02	run-02	Protocol A	False	1246487.0	5.0	6232435.0	0.8584621212121212
sub-023_ses-02_run-05_dwi	sub-023	ses-02	run-05	Protocol B	False	213832.0	3.440937599167228	735782.5687051268	0.261025390625
sub-024_ses-02_run-01_dwi	sub-024	ses-02	run-01	Protocol A	False	233161.0	5.0	1165805.0	0.1605792011019284
sub-024_ses-02_run-02_dwi	sub-024	ses-02	run-02	Protocol A	False	1180307.0	5.0	5901535.0	0.812883608815427
sub-024_ses-02_run-05_dwi	sub-024	ses-02	run-05	Protocol B	False	167346.0	3.440937599167228	575827.143470239	0.20427978515625
sub-025_ses-01_run-01_dwi	sub-025	ses-01	run-01	Protocol C	False	236616.0	5.0	1183080.0	0.1629586776859504
sub-025_ses-01_run-02_dwi	sub-025	ses-01	run-02	Protocol C	False	1132974.0	5.0	5664870.0	0.7802851239669422
sub-025_ses-01_run-03_dwi	sub-025	ses-01	run-03	Protocol A	False	235891.0	5.0	1179455.0	0.1624593663911845
sub-025_ses-01_run-04_dwi	sub-025	ses-01	run-04	Protocol A	False	1155306.0	5.0	5776530.0	0.7956652892561984
sub-025_ses-01_run-07_dwi	sub-025	ses-01	run-07	Protocol B	False	181616.0	3.440937599167228	624929.3230103554	0.22169921875
sub-025_ses-02_run-01_dwi	sub-025	ses-02	run-01	Protocol A	False	235489.0	5.0	1177445.0	0.1621825068870523
sub-025_ses-02_run-02_dwi	sub-025	ses-02	run-02	Protocol A	False	419793.0	5.0	2098965.0	0.2891136363636363
sub-025_ses-02_run-05_dwi	sub-025	ses-02	run-05	Protocol B	False	189034.0	3.440937599167228	650454.1981209778	0.23075439453125
sub-026_ses-01_run-01_dwi	sub-026	ses-01	run-01	Protocol A	False	287115.0	5.0	1435575.0	0.1977376033057851
sub-026_ses-01_run-02_dwi	sub-026	ses-01	run-02	Protocol A	False	326858.0	5.0	1634290.0	0.2251088154269972
sub-026_ses-01_run-05_dwi	sub-026	ses-01	run-05	Protocol B	False	161522.0	3.440937599167228	555787.1228926891	0.19717041015625
sub-026_ses-02_run-01_dwi	sub-026	ses-02	run-01	Protocol A	False	288479.0	5.0	1442395.0	0.198676997245179
sub-026_ses-02_run-02_dwi	sub-026	ses-02	run-02	Protocol A	False	1163941.0	5.0	5819705.0	0.801612258953168
sub-026_ses-02_run-05_dwi	sub-026	ses-02	run-05	Protocol B	False	201985.0	3.440937599167228	695017.7809677926	0.246563720703125
sub-027_ses-01_run-01_dwi	sub-027	ses-01	run-01	Protocol A	False	269447.0	5.0	1347235.0	0.1855695592286501
sub-027_ses-01_run-02_dwi	sub-027	ses-01	run-02	Protocol A	False	1143946.0	5.0	5719730.0	0.7878415977961433
sub-027_ses-01_run-05_dwi	sub-027	ses-01	run-05	Protocol B	False	191662.0	3.440937599167228	659496.9821315893	0.23396240234375
