subject	session	mask_voxels	brain_fraction
sub-077	ses-01	195856.0	0.23908203125
sub-078	ses-01	286983.0	0.197646694214876
sub-078	ses-01	1177988.0	0.8112865013774104
sub-078	ses-01	204196.0	0.2492626953125
sub-079	ses-01	239423.0	0.1648918732782369
sub-079	ses-01	378245.0	0.2604993112947658
sub-079	ses-01	182944.0	0.2233203125
sub-080	ses-01	296413.0	0.2041411845730027
sub-080	ses-01	410168.0	0.2824848484848485
sub-080	ses-01	199571.0	0.243616943359375
sub-081	ses-01	250133.0	0.1722679063360881
sub-081	ses-01	1180664.0	0.813129476584022
sub-081	ses-01	215867.0	0.263509521484375
sub-082	ses-01	238937.0	0.1645571625344352
sub-082	ses-01	513528.0	0.3536694214876033
sub-082	ses-01	250003.0	0.305179443359375
sub-083	ses-01	287544.0	0.1980330578512396
sub-083	ses-01	1150361.0	0.7922596418732782
sub-083	ses-01	216561.0	0.264356689453125
sub-084	ses-01	259971.0	0.179043388429752
sub-084	ses-01	305605.0	0.2104717630853994
sub-084	ses-01	224605.0	0.274176025390625
sub-057	ses-02		
sub-057	ses-02		
sub-057	ses-02		
sub-057	ses-02		
sub-064	ses-02		
sub-064	ses-02		
sub-064	ses-02		
sub-064	ses-02		
sub-066	ses-02		
sub-066	ses-02		
sub-066	ses-02		
sub-066	ses-02		
sub-067	ses-02		
sub-067	ses-02		
sub-067	ses-02		
sub-067	ses-02		
sub-068	ses-02	264756.0	0.1823388429752066
sub-068	ses-02		
sub-068	ses-02		
sub-068	ses-02		
sub-069	ses-02		
sub-069	ses-02		
sub-069	ses-02		
sub-069	ses-02		
sub-072	ses-02		
sub-072	ses-02		
sub-072	ses-02		
sub-072	ses-02		
sub-073	ses-02		
sub-073	ses-02		
sub-073	ses-02		
sub-073	ses-02		
sub-074	ses-02		
sub-074	ses-02		
sub-074	ses-02		
sub-074	ses-02		
sub-081	ses-02		
sub-081	ses-02		
