subject	session	mean_signal	median_signal	std_signal	mean_b0_signal	mean_diffusion_signal
sub-027	ses-01	104.96815490722656	87.0	87.21240997314453	330.3663635253906	92.6175537109375
sub-027	ses-01	58.76054000854492	180.0	2309.17626953125	64.8313980102539	58.42789077758789
sub-027	ses-01	357.11688232421875	305.0	224.586654663086	650.09912109375	250.577880859375
sub-027	ses-02	108.76068878173828	89.0	92.08785247802734	348.6593017578125	95.61557006835938
sub-027	ses-02	538.1343383789062	1012.0	2345.2294921875	1270.3798828125	498.0112915039063
sub-027	ses-02	313.7594909667969	269.0	200.6373748779297	574.3506469726562	218.9990692138672
sub-028	ses-01	130.39894104003906	107.0	109.0598373413086	387.0263671875	112.51548767089844
sub-028	ses-01	11.382582664489746	32.0	2325.55078125	-50.12305068969727	15.66869068145752
sub-028	ses-01	365.3390197753906	317.0	219.3900756835937	648.5	262.3714294433594
sub-028	ses-02	119.5320816040039	99.0	101.43675994873048	372.1226806640625	105.69149780273438
sub-028	ses-02	-15.78235912322998	4.0	2346.596923828125	-207.50616455078125	-5.276947498321533
sub-028	ses-02	304.38232421875	267.0	177.4199981689453	532.798828125	221.32179260253903
sub-029	ses-01	110.81292724609376	99.0	91.67912292480467	347.4039611816406	97.84903717041016
sub-029	ses-01	801.0855102539062	1654.0	2515.153076171875	2027.4102783203125	733.8895874023438
sub-029	ses-01	367.3981323242188	316.0	218.94973754882807	655.7430419921875	262.54547119140625
