subject	session	run	nifti	n_diffusion	unique_bvals	top_mean_length	top_axis_flipped	top_axis_permutation	top_axis_basis	suggestion_class	identity_mean_length	identity_rank	delta_best_minus_identity	n_table_rows_parsed
sub-069	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-069/ses-01/dwi/sub-069_ses-01_run-02_dwi.nii.gz	365	0,1000,2000	18.59	0	(1, 2, 0)	image	axis_flip_and_swap	16.05	8	2.539999999999999	48
sub-071	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-071/ses-01/dwi/sub-071_ses-01_run-02_dwi.nii.gz	365	0,1000,2000	18.32	2	(0, 1, 2)	scanner	axis_flip	14.28	16	4.040000000000001	48
sub-072	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-072/ses-01/dwi/sub-072_ses-01_run-02_dwi.nii.gz	365	0,1000,2000	19.74	none	(1, 0, 2)	image	axis_swap	14.55	29	5.189999999999998	48
sub-073	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-073/ses-01/dwi/sub-073_ses-01_run-02_dwi.nii.gz	365	0,1000,2000	63.49	0	(1, 0, 2)	scanner	axis_flip_and_swap	63.38	1	0.10999999999999943	48
sub-074	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-074/ses-01/dwi/sub-074_ses-01_run-02_dwi.nii.gz	365	0,1000,2000	43.64	1	(1, 2, 0)	image	axis_flip_and_swap	30.74	29	12.900000000000002	48
sub-075	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-075/ses-01/dwi/sub-075_ses-01_run-02_dwi.nii.gz	365	0,1000,2000	17.83	2	(1, 0, 2)	image	axis_flip_and_swap	13.74	27	4.089999999999998	48
sub-077	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-077/ses-01/dwi/sub-077_ses-01_run-02_dwi.nii.gz	365	0,1000,2000	49.72	2	(0, 1, 2)	scanner	axis_flip	48.42	2	1.2999999999999972	48
sub-078	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-078/ses-01/dwi/sub-078_ses-01_run-02_dwi.nii.gz	365	0,1000,2000	22.39	2	(1, 0, 2)	image	axis_flip_and_swap	16.99	14	5.400000000000002	48
sub-079	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-079/ses-01/dwi/sub-079_ses-01_run-02_dwi.nii.gz	365	0,1000,2000	36.71	0	(2, 1, 0)	image	axis_flip_and_swap	27.63	24	9.080000000000002	48
sub-080	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-080/ses-01/dwi/sub-080_ses-01_run-02_dwi.nii.gz	365	0,1000,2000	49.16	2	(1, 2, 0)	image	axis_flip_and_swap	35.21	23	13.949999999999996	48
