iqm	family	split	split_value	n	n_total	missing	missing_pct	mean	sd	median	iqr	min	max	p01	p99	variance	zero_variance	near_zero_variance
summary_gm_mean	intensity_summary	sequence_group	WMn	116	116	0	0.0	34776.32244913793	15245.179109839204	30868.07835	26414.257950000007	11341.6394	70271.4445	11653.787810000002	68759.39786999997	232415486.0910777	False	False
summary_gm_mean	intensity_summary	cohort	Control	277	277	0	0.0	11488.64179097473	18151.856258996013	794.5438	19625.3446	687.8538	70271.4445	700.563336	63048.98236800001	329489885.64725274	False	False
summary_gm_mean	intensity_summary	cohort	Glaucoma	74	74	0	0.0	12126.570091891892	18812.016588495993	789.9215	23653.9002	701.9774	53510.0664	704.250547	52954.077157	353891968.1258485	False	False
summary_gm_mean	intensity_summary	cohort	Data_ON	21	21	0	0.0	4595.102538095238	7359.184257201764	738.3921	90.37020000000007	704.7968	23827.2124	705.99862	22736.651920000004	54157592.93144628	False	False
summary_gm_mean	intensity_summary	cohort	Data_TON	8	8	0	0.0	7219.660737499999	12008.793039911043	810.7235499999999	5857.711149999999	725.7696	29175.371	726.8183819999999	28806.683925999998	144211110.2754159	False	False
summary_gm_mean	intensity_summary	session	ses-01	230	230	0	0.0	10378.556305217391	17052.543622179444	789.31005	16117.16995	687.8538	70271.4445	702.131187	60373.06862600002	290789243.9863329	False	False
summary_gm_mean	intensity_summary	session	ses-02	150	150	0	0.0	12312.709679333333	18871.47836711442	797.7724499999999	21626.737350000003	692.8148	64163.4545	701.790525	62391.802709999996	356132695.76046765	False	False
summary_gm_median	intensity_summary	all	all	380	380	0	0.0	11076.936842105262	17681.512552934742	784.0	19131.25	685.0	69159.0	699.79	61784.75999999998	312635886.1595889	False	False
summary_gm_median	intensity_summary	sequence_group	T1w	264	264	0	0.0	752.0340909090909	42.32711169831627	735.0	72.0	685.0	863.0	697.52	844.96	1791.5843847217423	False	False
summary_gm_median	intensity_summary	sequence_group	WMn	116	116	0	0.0	34574.99137931035	15121.186131009057	30608.5	26191.25	11442.0	69159.0	11802.9	68067.49999999997	228650270.00862068	False	False
summary_gm_median	intensity_summary	cohort	Control	277	277	0	0.0	11421.494584837545	18032.125041283947	786.0	19747.0	685.0	69159.0	698.04	62715.16000000001	325157533.50449955	False	False
summary_gm_median	intensity_summary	cohort	Glaucoma	74	74	0	0.0	12059.5	18719.354459401435	784.0	23439.0	707.0	53786.0	707.73	52443.52999999999	350414231.3767123	False	False
summary_gm_median	intensity_summary	cohort	Data_ON	21	21	0	0.0	4584.619047619048	7324.828895449985	734.0	82.0	702.0	23521.0	703.2	22469.400000000005	53653118.34761904	False	False
summary_gm_median	intensity_summary	cohort	Data_TON	8	8	0	0.0	7100.25	11809.359178816	803.5	5696.5	724.0	28885.0	724.98	28492.09	139460964.2142857	False	False
summary_gm_median	intensity_summary	session	ses-01	230	230	0	0.0	10311.491304347826	16933.381811374624	780.0	15926.25	685.0	69159.0	700.58	60359.45000000003	286739419.569793	False	False
summary_gm_median	intensity_summary	session	ses-02	150	150	0	0.0	12250.62	18768.15190605417	791.0	21804.75	692.0	63520.0	699.49	61888.18999999999	352243525.9687248	False	False
summary_gm_p05	intensity_summary	all	all	380	380	0	0.0	1838.463157894737	2776.503676602149	551.5	1718.75	250.0	21398.0	421.7	12332.269999999991	7708972.6661852505	False	False
summary_gm_p05	intensity_summary	sequence_group	T1w	264	264	0	0.0	533.7386363636364	36.41057412894756	536.0	42.25	347.0	610.0	437.45	602.11	1325.7299083995854	False	False
summary_gm_p05	intensity_summary	sequence_group	WMn	116	116	0	0.0	4807.836206896552	3549.8324735584124	3990.0	3297.25	250.0	21398.0	413.6	20256.649999999987	12601310.590329835	False	False
summary_gm_p05	intensity_summary	cohort	Control	277	277	0	0.0	1998.6642599277977	3034.5451189427354	556.0	1973.0	250.0	21398.0	459.0	14019.920000000053	9208464.078899179	False	False
