subject_id	session	sequence_group	run	mriqc_source_file	iqm	value	outlier_iqr	outlier_robust_z	robust_z	split
sub-008	ses-01	T1w	2	sub-008/ses-01/anat/sub-008_ses-01_run-02_T1w.json	snr_wm	14.600276632764585	True	False	3.267461731579034	sequence_group=T1w
sub-008	ses-02	T1w	2	sub-008/ses-02/anat/sub-008_ses-02_run-02_T1w.json	snr_wm	14.512648832870031	True	False	3.202119475486816	sequence_group=T1w
sub-011	ses-02	T1w	2	sub-011/ses-02/anat/sub-011_ses-02_run-02_T1w.json	snr_wm	15.079221173192655	True	True	3.624600868385848	sequence_group=T1w
sub-031	ses-01	T1w	2	sub-031/ses-01/anat/sub-031_ses-01_run-02_T1w.json	snr_wm	16.360823950955464	True	True	4.580265817338667	sequence_group=T1w
sub-031	ses-02	T1w	2	sub-031/ses-02/anat/sub-031_ses-02_run-02_T1w.json	snr_wm	14.706771904030465	True	False	3.346873074737702	sequence_group=T1w
sub-005	ses-01	T1w	2	sub-005/ses-01/anat/sub-005_ses-01_run-02_T1w.json	snrd_csf	49.65187791888571	False	True	4.620081155897694	sequence_group=T1w
sub-005	ses-02	T1w	2	sub-005/ses-02/anat/sub-005_ses-02_run-02_T1w.json	snrd_csf	41.7284331210191	False	True	3.71048184371787	sequence_group=T1w
sub-012	ses-01	T1w	2	sub-012/ses-01/anat/sub-012_ses-01_run-02_T1w.json	snrd_csf	45.51399514366653	False	True	4.145058558752382	sequence_group=T1w
sub-014	ses-01	T1w	2	sub-014/ses-01/anat/sub-014_ses-01_run-02_T1w.json	snrd_csf	56.119197895588826	True	True	5.36251957157769	sequence_group=T1w
sub-022	ses-02	T1w	2	sub-022/ses-02/anat/sub-022_ses-02_run-02_T1w.json	snrd_csf	41.24804099785859	False	True	3.6553335646611314	sequence_group=T1w
sub-024	ses-01	T1w	2	sub-024/ses-01/anat/sub-024_ses-01_run-02_T1w.json	snrd_csf	47.95906011537696	False	True	4.425748267993696	sequence_group=T1w
sub-024	ses-02	T1w	2	sub-024/ses-02/anat/sub-024_ses-02_run-02_T1w.json	snrd_csf	55.96497648612946	True	True	5.344815190270532	sequence_group=T1w
sub-031	ses-01	T1w	2	sub-031/ses-01/anat/sub-031_ses-01_run-02_T1w.json	snrd_csf	69.26919898089172	True	True	6.872119530622777	sequence_group=T1w
sub-031	ses-02	T1w	2	sub-031/ses-02/anat/sub-031_ses-02_run-02_T1w.json	snrd_csf	48.45945696296162	False	True	4.48319305873705	sequence_group=T1w
sub-034	ses-01	T1w	2	sub-034/ses-01/anat/sub-034_ses-01_run-02_T1w.json	snrd_csf	46.53493338452678	False	True	4.262260703192714	sequence_group=T1w
sub-034	ses-02	T1w	2	sub-034/ses-02/anat/sub-034_ses-02_run-02_T1w.json	snrd_csf	60.39073789289086	True	True	5.8528858128545505	sequence_group=T1w
sub-036	ses-02	T1w	2	sub-036/ses-02/anat/sub-036_ses-02_run-02_T1w.json	snrd_csf	52.71195904676298	True	True	4.971373776738703	sequence_group=T1w
sub-041	ses-01	T1w	2	sub-041/ses-01/anat/sub-041_ses-01_run-02_T1w.json	snrd_csf	43.669917870518994	False	True	3.9333613156904907	sequence_group=T1w
sub-042	ses-01	T1w	2	sub-042/ses-01/anat/sub-042_ses-01_run-02_T1w.json	snrd_csf	57.59214272224471	True	True	5.531611378914539	sequence_group=T1w
sub-044	ses-02	T1w	2	sub-044/ses-02/anat/sub-044_ses-02_run-02_T1w.json	snrd_csf	52.301421174363945	True	True	4.924244658547778	sequence_group=T1w
sub-049	ses-01	T1w	2	sub-049/ses-01/anat/sub-049_ses-01_run-02_T1w.json	snrd_csf	61.42179927154998	True	True	5.971250077990344	sequence_group=T1w
sub-054	ses-02	T1w	1	sub-054/ses-02/anat/sub-054_ses-02_run-01_T1w.json	snrd_csf	52.58413031161472	True	True	4.956699233969253	sequence_group=T1w
sub-063	ses-01	T1w	1	sub-063/ses-01/anat/sub-063_ses-01_run-01_T1w.json	snrd_csf	45.23903436813676	False	True	4.113493483374353	sequence_group=T1w
sub-063	ses-01	T1w	2	sub-063/ses-01/anat/sub-063_ses-01_run-02_T1w.json	snrd_csf	44.64172182851802	False	True	4.044922919805856	sequence_group=T1w
sub-077	ses-01	T1w	2	sub-077/ses-01/anat/sub-077_ses-01_run-02_T1w.json	snrd_csf	44.95333797044779	False	True	4.080695975035542	sequence_group=T1w
sub-079	ses-01	T1w	2	sub-079/ses-01/anat/sub-079_ses-01_run-02_T1w.json	snrd_csf	40.10092290570619	False	True	3.523646166789464	sequence_group=T1w
sub-030	ses-01	WMn	3	sub-030/ses-01/anat/sub-030_ses-01_run-03_T1w.json	snrd_csf	40.68103853135104	True	False	2.9759770219456927	sequence_group=WMn
sub-048	ses-02	WMn	3	sub-048/ses-02/anat/sub-048_ses-02_run-03_T1w.json	snrd_csf	4.853060051894467	True	False	-3.1153346335575796	sequence_group=WMn
sub-062	ses-01	WMn	1	sub-062/ses-01/anat/sub-062_ses-01_run-01_T1w.json	snrd_csf	53.270584573058095	True	True	5.11639498008745	sequence_group=WMn
sub-081	ses-02	WMn	1	sub-081/ses-02/anat/sub-081_ses-02_run-01_T1w.json	snrd_csf	41.51456166558312	True	False	3.117688873916095	sequence_group=WMn
sub-005	ses-01	T1w	2	sub-005/ses-01/anat/sub-005_ses-01_run-02_T1w.json	snrd_gm	85.64033980112472	False	True	3.995437254993319	sequence_group=T1w
sub-012	ses-01	T1w	2	sub-012/ses-01/anat/sub-012_ses-01_run-02_T1w.json	snrd_gm	103.98990476190475	True	True	5.079894286572627	sequence_group=T1w
sub-014	ses-01	T1w	2	sub-014/ses-01/anat/sub-014_ses-01_run-02_T1w.json	snrd_gm	105.46284958856064	True	True	5.166945144607108	sequence_group=T1w
sub-022	ses-02	T1w	2	sub-022/ses-02/anat/sub-022_ses-02_run-02_T1w.json	snrd_gm	85.85348068158939	False	True	4.00803385480541	sequence_group=T1w
sub-024	ses-01	T1w	2	sub-024/ses-01/anat/sub-024_ses-01_run-02_T1w.json	snrd_gm	91.74776717724288	False	True	4.356385461506534	sequence_group=T1w
sub-024	ses-02	T1w	2	sub-024/ses-02/anat/sub-024_ses-02_run-02_T1w.json	snrd_gm	101.8331788639366	True	True	4.9524320513512565	sequence_group=T1w
sub-031	ses-01	T1w	2	sub-031/ses-01/anat/sub-031_ses-01_run-02_T1w.json	snrd_gm	123.51616203821656	True	True	6.233893689227828	sequence_group=T1w
sub-031	ses-02	T1w	2	sub-031/ses-02/anat/sub-031_ses-02_run-02_T1w.json	snrd_gm	86.99063493838963	False	True	4.075239531474757	sequence_group=T1w
sub-034	ses-01	T1w	2	sub-034/ses-01/anat/sub-034_ses-01_run-02_T1w.json	snrd_gm	81.40754931150632	False	True	3.7452798578299604	sequence_group=T1w
sub-034	ses-02	T1w	2	sub-034/ses-02/anat/sub-034_ses-02_run-02_T1w.json	snrd_gm	104.87367165789829	True	True	5.1321248013933145	sequence_group=T1w
sub-035	ses-01	T1w	2	sub-035/ses-01/anat/sub-035_ses-01_run-02_T1w.json	snrd_gm	79.45400171297406	False	True	3.6298254351076076	sequence_group=T1w
sub-036	ses-02	T1w	2	sub-036/ses-02/anat/sub-036_ses-02_run-02_T1w.json	snrd_gm	102.83859040185912	True	True	5.011851749543638	sequence_group=T1w
sub-041	ses-01	T1w	2	sub-041/ses-01/anat/sub-041_ses-01_run-02_T1w.json	snrd_gm	101.50699973247728	True	True	4.933154904812821	sequence_group=T1w
sub-041	ses-02	T1w	1	sub-041/ses-02/anat/sub-041_ses-02_run-01_T1w.json	snrd_gm	83.5159716713881	False	True	3.8698873598933576	sequence_group=T1w
sub-042	ses-01	T1w	2	sub-042/ses-01/anat/sub-042_ses-01_run-02_T1w.json	snrd_gm	105.7574385538918	True	True	5.184355316214002	sequence_group=T1w
sub-044	ses-02	T1w	2	sub-044/ses-02/anat/sub-044_ses-02_run-02_T1w.json	snrd_gm	114.86760725210772	True	True	5.722765165426797	sequence_group=T1w
sub-049	ses-01	T1w	2	sub-049/ses-01/anat/sub-049_ses-01_run-02_T1w.json	snrd_gm	107.37767786321326	True	True	5.28011126005193	sequence_group=T1w
sub-054	ses-02	T1w	1	sub-054/ses-02/anat/sub-054_ses-02_run-01_T1w.json	snrd_gm	106.9357944152165	True	True	5.253996002641586	sequence_group=T1w
sub-063	ses-01	T1w	1	sub-063/ses-01/anat/sub-063_ses-01_run-01_T1w.json	snrd_gm	92.81131406185077	False	True	4.4192409515354525	sequence_group=T1w
sub-063	ses-01	T1w	2	sub-063/ses-01/anat/sub-063_ses-01_run-02_T1w.json	snrd_gm	91.19666030682968	False	True	4.323815113269469	sequence_group=T1w
sub-066	ses-02	T1w	2	sub-066/ses-02/anat/sub-066_ses-02_run-02_T1w.json	snrd_gm	79.53902063941725	False	True	3.634850043200262	sequence_group=T1w
sub-077	ses-01	T1w	2	sub-077/ses-01/anat/sub-077_ses-01_run-02_T1w.json	snrd_gm	87.19715967966312	False	True	4.087445118274653	sequence_group=T1w
sub-079	ses-01	T1w	2	sub-079/ses-01/anat/sub-079_ses-01_run-02_T1w.json	snrd_gm	79.980904087414	False	True	3.660965300610606	sequence_group=T1w
sub-062	ses-01	WMn	1	sub-062/ses-01/anat/sub-062_ses-01_run-01_T1w.json	snrd_gm	44.60740573686851	True	True	4.294698766643106	sequence_group=WMn
sub-005	ses-01	T1w	2	sub-005/ses-01/anat/sub-005_ses-01_run-02_T1w.json	snrd_total	84.21706729730737	False	True	4.405803640365171	sequence_group=T1w
