path	subject	session	extension	category	size	potential BIDS destination
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/November-08-2023_ 9-30-31_AM__Subject_is_subc01-session2__sequence_of_stimuli_for_fMRI_number_1_is_11   6  10  12   1   5   9   2   4   7   3   8.mat	SUBC001	ses-02	.mat	task_timing	205	bids/sub-001/ses-02/func/November-08-2023__9-30-31_AM__Subject_is_subc01-session2__sequence_of_stimuli_for_fMRI_number_1_is_11___6__10__12___1___5___9___2___4___7___3___8_events.tsv
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/November-08-2023_ 9-36-00_AM__scan_info_for_subject_subc01-session2__selected_run_is_1__fmri_number_is1.mat	SUBC001	ses-02	.mat	stimulus	74243	bids/stimuli/November-08-2023__9-36-00_AM__scan_info_for_subject_subc01-session2__selected_run_is_1__fmri_number_is1.mat
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/November-08-2023_ 9-36-18_AM__Subject_is_subc01-session2__sequence_of_stimuli_for_fMRI_number_2_is_6   9  10   3   7   5   1  12   8   4   2  11.mat	SUBC001	ses-02	.mat	task_timing	205	bids/sub-001/ses-02/func/November-08-2023__9-36-18_AM__Subject_is_subc01-session2__sequence_of_stimuli_for_fMRI_number_2_is_6___9__10___3___7___5___1__12___8___4___2__11_events.tsv
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/November-08-2023_ 9-40-15_AM__scan_info_for_subject_subc01-session2__selected_run_is_4__fmri_number_is2.mat	SUBC001	ses-02	.mat	stimulus	74230	bids/stimuli/November-08-2023__9-40-15_AM__scan_info_for_subject_subc01-session2__selected_run_is_4__fmri_number_is2.mat
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/November-08-2023_ 9-40-59_AM__Subject_is_subc01-session2__sequence_of_stimuli_for_fMRI_number_3_is_3   1   7   8   9   4  12  11   6   2  10   5.mat	SUBC001	ses-02	.mat	task_timing	205	bids/sub-001/ses-02/func/November-08-2023__9-40-59_AM__Subject_is_subc01-session2__sequence_of_stimuli_for_fMRI_number_3_is_3___1___7___8___9___4__12__11___6___2__10___5_events.tsv
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/November-08-2023_ 9-45-24_AM__scan_info_for_subject_subc01-session2__selected_run_is_2__fmri_number_is3.mat	SUBC001	ses-02	.mat	stimulus	74253	bids/stimuli/November-08-2023__9-45-24_AM__scan_info_for_subject_subc01-session2__selected_run_is_2__fmri_number_is3.mat
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/November-08-2023_ 9-45-42_AM__Subject_is_subc01-session2__sequence_of_stimuli_for_fMRI_number_4_is_12   3  10   6  11   7   1   2   5   8   9   4.mat	SUBC001	ses-02	.mat	task_timing	205	bids/sub-001/ses-02/func/November-08-2023__9-45-42_AM__Subject_is_subc01-session2__sequence_of_stimuli_for_fMRI_number_4_is_12___3__10___6__11___7___1___2___5___8___9___4_events.tsv
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/November-08-2023_ 9-49-34_AM__scan_info_for_subject_subc01-session2__selected_run_is_5__fmri_number_is4.mat	SUBC001	ses-02	.mat	stimulus	74236	bids/stimuli/November-08-2023__9-49-34_AM__scan_info_for_subject_subc01-session2__selected_run_is_5__fmri_number_is4.mat
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/fMRI_1.mat	SUBC001	ses-02	.mat	stimulus	205	bids/stimuli/fMRI_1.mat
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/fMRI_2.mat	SUBC001	ses-02	.mat	stimulus	205	bids/stimuli/fMRI_2.mat
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/fMRI_3.mat	SUBC001	ses-02	.mat	stimulus	205	bids/stimuli/fMRI_3.mat
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/fMRI_4.mat	SUBC001	ses-02	.mat	stimulus	205	bids/stimuli/fMRI_4.mat
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/runs_random.mat	SUBC001	ses-02	.mat	stimulus	138853	bids/stimuli/runs_random.mat
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/runs_random_record_subc01-session2.mat	SUBC001	ses-02	.mat	stimulus	195	bids/stimuli/runs_random_record_subc01-session2.mat
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/main.m	SUBC001	ses-02	.m	stimulus	16513	bids/stimuli/main.m
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/presentStimParams.m	SUBC001	ses-02	.m	stimulus	3205	bids/stimuli/presentStimParams.m
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/3-Movie_Data/Results/November-08-2023_ 9-50-07_AM_Subject_is_subc01-session02_selected_run_id_1.mat	SUBC001	ses-02	.mat	task_timing	845	bids/sub-001/ses-02/func/November-08-2023__9-50-07_AM_Subject_is_subc01-session02_selected_run_id_1_events.tsv
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/3-Movie_Data/Results/November-08-2023_ 9-54-23_AM_Subject_is_subc01-session2_selected_run_id_2.mat	SUBC001	ses-02	.mat	task_timing	847	bids/sub-001/ses-02/func/November-08-2023__9-54-23_AM_Subject_is_subc01-session2_selected_run_id_2_events.tsv
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/3-Movie_Data/Results/November-08-2023_ 9-58-36_AM_Subject_is_subc01-session2_selected_run_id_3.mat	SUBC001	ses-02	.mat	task_timing	848	bids/sub-001/ses-02/func/November-08-2023__9-58-36_AM_Subject_is_subc01-session2_selected_run_id_3_events.tsv
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/3-Movie_Data/Results/November-08-2023_10-03-59_AM_Subject_is_subc01-session2_selected_run_id_4.mat	SUBC001	ses-02	.mat	task_timing	848	bids/sub-001/ses-02/func/November-08-2023_10-03-59_AM_Subject_is_subc01-session2_selected_run_id_4_events.tsv
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/3-Movie_Data/Show_movie.m	SUBC001	ses-02	.m	stimulus	4743	bids/stimuli/Show_movie.m
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/3-Movie_Data/main.m	SUBC001	ses-02	.m	stimulus	3446	bids/stimuli/main.m
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/4-resting state/main.m	SUBC001	ses-02	.m	unknown	6305	reports/associated_data/unclassified/sub-001/ses-02/main.m
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session2-2023NOV08-peripheral/sub-C01-Scan2-08-11-2023.ecg	SUBC001	ses-02	.ecg	physiology	79989	bids/sub-001/ses-02/func/sub-C01-Scan2-08-11-2023_physio.tsv.gz
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session2-2023NOV08-peripheral/sub-C01-Scan2-08-11-2023.puls	SUBC001	ses-02	.puls	physiology	8602732	bids/sub-001/ses-02/func/sub-C01-Scan2-08-11-2023_physio.tsv.gz
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session2-2023NOV08-peripheral/sub-C01-Scan2-08-11-2023.resp	SUBC001	ses-02	.resp	physiology	8475309	bids/sub-001/ses-02/func/sub-C01-Scan2-08-11-2023_physio.tsv.gz
