original_identifier	normalized_identifier	source_file	number_of_matches	confidence
SUBC55_SESSION02_2025AUG14	SUBC55_SESSION02_2025AUG14	session_mapping.csv:source_subject_folder	58	LOW
SUBC56_Session01_2025MAY15	SUBC56_Session01_2025MAY15	session_mapping.csv:source_subject_folder	35	LOW
SUBC57_Session01_2025AUG11	SUBC57_Session01_2025AUG11	session_mapping.csv:source_subject_folder	60	LOW
SUBG001	SUBG001	GreenLevel.mat	121	HIGH
SUBG002	SUBG002	September-13-2023_ 8-12-06_AM  The Right Eye is _ eye =1 .mat	123	HIGH
SUBG003	SUBG003	October-14-2023_ 1-55-03_PM  The Right Eye is _ eye =1 .mat	129	HIGH
SUBG004	SUBG004	GreenLevel.mat	125	HIGH
SUBG005	SUBG005	November-04-2023_12-10-25_PM  The Right Eye is _ eye =1 .mat	62	HIGH
SUBG006	SUBG006	November-14-2023_ 3-45-23_PM  The Right Eye is _ eye =1 .mat	62	HIGH
SUBG007	SUBG007	July-21-2024_ 9-24-48_AM  The Right Eye is _ eye =1 .mat	124	HIGH
SUBG008	SUBG008	February-10-2024_ 1-55-07_PM  The Right Eye is _ eye =1 .mat	125	HIGH
SUBG009	SUBG009	May-23-2024_ 9-42-52_AM  The Right Eye is _ eye =1 .mat	124	HIGH
SUBG01	SUBG001	session_mapping.csv:canonical_subject_id	300	HIGH
SUBG010	SUBG010	GreenLevel.mat	60	HIGH
SUBG011	SUBG011	GreenLevel.mat	60	HIGH
SUBG012	SUBG012	November-20-2024_ 4-14-55_PM  The Right Eye is _ eye =1 .mat	62	HIGH
SUBG013	SUBG013	May-22-2025_ 2-15-49_PM  The Right Eye is _ eye =1 .mat	72	HIGH
SUBG014	SUBG014	December-01-2024_ 2-13-20_PM  The Right Eye is _ eye =1 .mat	62	HIGH
SUBG015	SUBG015	GreenLevel.mat	60	HIGH
SUBG016	SUBG016	GreenLevel.mat	128	HIGH
SUBG017	SUBG017	August-19-2025_ 3-12-23_PM  The Right Eye is _ eye =1 .mat	118	HIGH
SUBG018	SUBG018	March-14-2025_11-00-36_AM  The Right Eye is _ eye =1 .mat	62	HIGH
SUBG019	SUBG019	GreenLevel.mat	60	HIGH
SUBG01_Session01_2023AUG23	SUBG01_Session01_2023AUG23	session_mapping.csv:source_subject_folder	75	LOW
SUBG01_Session2_2024FEB21	SUBG01_Session2_2024FEB21	session_mapping.csv:source_subject_folder	75	LOW
SUBG02	SUBG002	session_mapping.csv:canonical_subject_id	300	HIGH
SUBG02-Session01-2023SEP13	SUBG02-Session01-2023SEP13	session_mapping.csv:source_subject_folder	75	LOW
