subject	session	runtime	memory	CPU hours	files processed	job_id	array_task_id	node	timestamp	status
SUBC042		00:18:20	0.201G	0.0109	121	66498896	41	nc30429	2026-07-27T16:29:12.165221+00:00	success
SUBC040		00:18:23	0.209G	0.0110	118	66498893	39	nc30427	2026-07-27T16:29:12.222760+00:00	success
SUBC051		00:11:28	0.206G	0.0076	59	66499524	50	nc10330	2026-07-27T16:32:43.553549+00:00	success
SUBC052		00:11:28	0.209G	0.0076	59	66499525	51	nc10330	2026-07-27T16:32:43.564820+00:00	success
SUBON01		00:08:31	0.194G	0.0104	118	66499729	57	nc11001	2026-07-27T16:34:01.020150+00:00	success
SUBC045		00:14:35	0.202G	0.0106	118	66499453	44	nc10354	2026-07-27T16:34:15.739466+00:00	success
SUBC036		00:36:04	0.201G	0.0112	121	66498408	35	nc30432	2026-07-27T16:36:49.238951+00:00	success
SUBC037		00:36:04	0.204G	0.0112	118	66498409	36	nc30432	2026-07-27T16:36:49.241666+00:00	success
SUBC018		00:26:55	0.208G	0.0065	62	66498851	1	nc30424	2026-07-27T16:36:49.295139+00:00	success
SUBC049		00:15:37	0.203G	0.0110	119	66499519	48	nc11014	2026-07-27T16:36:54.991933+00:00	success
SUBC055		00:15:34	0.236G	0.0374	0	66499529	54	nc30505	2026-07-27T16:36:55.451489+00:00	failed
SUBG05		00:04:10	0.186G	0.0044	38	66500444	70	nc30424	2026-07-27T16:41:09.974946+00:00	success
SUBTON02		00:07:25	0.197G	0.0075	60	66500253	65	nc11001	2026-07-27T16:41:31.287060+00:00	success
SUBG01		00:09:30	0.205G	0.0102	118	66500263	66	nc10330	2026-07-27T16:43:52.372831+00:00	success
SUBC053		00:22:40	0.207G	0.0107	118	66499526	52	nc10341	2026-07-27T16:44:21.059681+00:00	success
SUBC047		00:23:09	0.204G	0.0108	121	66499517	46	nc11004	2026-07-27T16:44:21.107463+00:00	success
SUBC044		00:27:39	0.199G	0.0123	113	66499152	43	nc11004	2026-07-27T16:44:21.259072+00:00	success
