file	relative_under_movie	folder_role	filename	extension	size_bytes	content_class	timing_keywords_in_content	identity_keywords_in_content	n_lines	notes
/lustre06/project/6001995/raw_original/Control/SUBC12-Session01-2023JUL12/SUBC12_Session01_2023JUL12_Matlab/3-Movie_Data/Results/July-12-2023_10-46-26_AM_Subject_is_SUBC12_selected_run_id_1.mat	Results/July-12-2023_10-46-26_AM_Subject_is_SUBC12_selected_run_id_1.mat	Results	July-12-2023_10-46-26_AM_Subject_is_SUBC12_selected_run_id_1.mat	.mat	824	MAT_IDENTITY_ONLY				
/lustre06/project/6001995/raw_original/Control/SUBC41_Session01_2024MAR21/SUBC41_Session01_2024MAR21_MATLAB/3-Movie_Data/main.m	main.m	MovieRoot	main.m	.m	3446	MATLAB_SCRIPT				
/lustre06/project/6001995/raw_original/Control/SUBC41_Session01_2024MAR21/SUBC41_Session01_2024MAR21_MATLAB/3-Movie_Data/Show_movie.m	Show_movie.m	MovieRoot	Show_movie.m	.m	4743	MATLAB_SCRIPT				
/lustre06/project/6001995/raw_original/Control/SUBC41_Session01_2024MAR21/SUBC41_Session01_2024MAR21_MATLAB/3-Movie_Data/output.txt	output.txt	MovieRoot	output.txt	.txt	60753	DIARY_OTHER			1	encoding=utf-16; ptb_diag=False; triggerTimes_assign=False
/lustre06/project/6001995/raw_original/Control/SUBC41_Session01_2024MAR21/SUBC41_Session01_2024MAR21_MATLAB/3-Movie_Data/Results/March-21-2024_ 4-29-05_PM_Subject_is_subc41_selected_run_id_1.mat	Results/March-21-2024_ 4-29-05_PM_Subject_is_subc41_selected_run_id_1.mat	Results	March-21-2024_ 4-29-05_PM_Subject_is_subc41_selected_run_id_1.mat	.mat	827	MAT_IDENTITY_ONLY				
/lustre06/project/6001995/raw_original/Control/SUBC41_Session01_2024MAR21/SUBC41_Session01_2024MAR21_MATLAB/3-Movie_Data/Results/March-21-2024_ 4-33-29_PM_Subject_is_SUBC41_selected_run_id_2.mat	Results/March-21-2024_ 4-33-29_PM_Subject_is_SUBC41_selected_run_id_2.mat	Results	March-21-2024_ 4-33-29_PM_Subject_is_SUBC41_selected_run_id_2.mat	.mat	828	MAT_IDENTITY_ONLY				
/lustre06/project/6001995/raw_original/Control/SUBC41_Session01_2024MAR21/SUBC41_Session01_2024MAR21_MATLAB/3-Movie_Data/Results/March-21-2024_ 4-44-11_PM_Subject_is_subc41_selected_run_id_4.mat	Results/March-21-2024_ 4-44-11_PM_Subject_is_subc41_selected_run_id_4.mat	Results	March-21-2024_ 4-44-11_PM_Subject_is_subc41_selected_run_id_4.mat	.mat	828	MAT_IDENTITY_ONLY				
/lustre06/project/6001995/raw_original/Control/SUBC41_Session01_2024MAR21/SUBC41_Session01_2024MAR21_MATLAB/3-Movie_Data/Results/March-21-2024_ 4-37-38_PM_Subject_is_SUBC41_selected_run_id_3.mat	Results/March-21-2024_ 4-37-38_PM_Subject_is_SUBC41_selected_run_id_3.mat	Results	March-21-2024_ 4-37-38_PM_Subject_is_SUBC41_selected_run_id_3.mat	.mat	828	MAT_IDENTITY_ONLY				
/lustre06/project/6001995/raw_original/Control/SUBC18-Session1-2023AUG28/SUBC018_Control_Session01_2023AUG28_MATLAB/3-Movie_Data/Show_movie.m	Show_movie.m	MovieRoot	Show_movie.m	.m	4743	MATLAB_SCRIPT				
/lustre06/project/6001995/raw_original/Control/SUBC18-Session1-2023AUG28/SUBC018_Control_Session01_2023AUG28_MATLAB/3-Movie_Data/main.m	main.m	MovieRoot	main.m	.m	3446	MATLAB_SCRIPT				
/lustre06/project/6001995/raw_original/Control/SUBC18-Session1-2023AUG28/SUBC018_Control_Session01_2023AUG28_MATLAB/3-Movie_Data/output.txt	output.txt	MovieRoot	output.txt	.txt	53044	DIARY_OTHER			1	encoding=utf-16; ptb_diag=False; triggerTimes_assign=False
/lustre06/project/6001995/raw_original/Control/SUBC18-Session1-2023AUG28/SUBC018_Control_Session01_2023AUG28_MATLAB/3-Movie_Data/Results/August-28-2023_ 2-24-28_PM_Subject_is_c18_selected_run_id_3.mat	Results/August-28-2023_ 2-24-28_PM_Subject_is_c18_selected_run_id_3.mat	Results	August-28-2023_ 2-24-28_PM_Subject_is_c18_selected_run_id_3.mat	.mat	821	MAT_IDENTITY_ONLY				
/lustre06/project/6001995/raw_original/Control/SUBC18-Session1-2023AUG28/SUBC018_Control_Session01_2023AUG28_MATLAB/3-Movie_Data/Results/August-28-2023_ 2-28-56_PM_Subject_is_c18_selected_run_id_4.mat	Results/August-28-2023_ 2-28-56_PM_Subject_is_c18_selected_run_id_4.mat	Results	August-28-2023_ 2-28-56_PM_Subject_is_c18_selected_run_id_4.mat	.mat	820	MAT_IDENTITY_ONLY				
