iqm	family_group	n_obs	n_subjects	iqm_sd	beta_before	beta_before_std	se_before	p_before	ci_low_before	ci_high_before	r2_before	beta_after	beta_after_std	se_after	p_after	ci_low_after	ci_high_after	r2_after	effect_attenuation	anatomy_sensitive_by_construction	selected_anatomy	q_before	q_after	cohort_shift_class
summary_gm_stdv	intensity	132	83	12.27568956858835	8.572425680494478	0.6983253879627285	2.746751561555172	0.0022394235047997887	3.1362634424895903	14.008587918499366	0.2836832890288634	4.398566967119289	0.3583152655126245	2.6442984582641245	0.09879609424992623	-0.8360859394705678	9.633219873709146	0.42456742435553885	0.5131064568022676	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.012074957315723273	0.27662906389979347	attenuated_lost_fdr
summary_wm_k	intensity	132	83	0.13026010702331567	0.07134831417151297	0.5477372604856076	0.03231947956497292	0.029097311406151693	0.0073840529612268085	0.13531257538179914	0.11922703901864184	0.07090911585194254	0.5443655580541653	0.033764980124278275	0.03778183736412469	0.004067965301739543	0.13775026640214555	0.1667497923929525	0.9938443069794943	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.08147247193722473	0.16275253018392172	not_fdr_significant
summary_wm_mad	intensity	132	83	7.4651213628747595	3.617675513116523	0.4846104084935311	1.8516374424168818	0.052961799481006065	-0.04694479103777294	7.2822958172708185	0.11976976793241767	3.2418423441797035	0.4342651896192744	1.8722079645168894	0.0858795369512309	-0.46438031482852216	6.94806500318793	0.21999079707050495	0.8961119736764203	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.1327417967630359	0.2671807816260517	not_fdr_significant
summary_wm_mean	intensity	132	83	13.848766172435676	-0.8756259323125448	-0.06322772161865035	3.4959101980346308	0.8026339459392986	-7.794466089538872	6.043214224913783	0.08829048255939675	-2.579195836349605	-0.18624011729530013	3.526159411606924	0.46590927717401287	-9.559580578994897	4.401188906295688	0.19601672532426528	2.9455452850030373	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.8989500194520144	0.6689979364549928	not_fdr_significant
summary_wm_median	intensity	132	83	12.003151332684954	-2.9240618085232057	-0.24360784326370147	3.024509962692625	0.3355165115858263	-8.909942394807516	3.061818777761104	0.09159902221282934	-3.5736562497319326	-0.29772650120645866	3.0998889905432234	0.25123246383881703	-9.710196118648716	2.5628836191848503	0.17288287032760474	1.2221548256316797	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.5526154308472434	0.5210747398138428	not_fdr_significant
summary_wm_p05	intensity	132	83	27.911763874257172	-3.6334148728688973	-0.1301750362047155	7.049487715276531	0.6071730873318103	-17.5852259690891	10.318396223351309	0.08736174600175983	-8.452126276472661	-0.3028159135534963	7.115688080821199	0.23721337638388368	-22.538341536420816	5.634088983475493	0.19401949945885866	2.326221081876888	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.7907370439670087	0.5109211183652879	not_fdr_significant
summary_wm_p95	intensity	132	83	7.999172262290333	7.150490778847001	0.8939038370952226	1.945662797733547	0.0003513757111438727	3.2997826270906274	11.001198930603374	0.1535463762889686	5.665443953907086	0.7082537752831127	2.033453041808516	0.00618742102722619	1.6400205594901918	9.69086734832398	0.1986107882005671	0.7923153989187615	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.003935407964811374	0.057749262920777776	attenuated_lost_fdr
summary_wm_stdv	intensity	132	83	8.928942235434238	2.9695272655284555	0.33257324184985493	2.260397305375497	0.19134676555657082	-1.5040795383621193	7.44313406941903	0.08308800857300502	4.029572994221152	0.4512934329701353	2.2989086416389237	0.08214492083084013	-0.5213462733563672	8.580492261798671	0.17793020021182993	1.3569745733599288	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.3571806290389322	0.2671807816260517	not_fdr_significant
tpm_overlap_csf	morphology / tissue	132	83	0.014230421360600532	0.00023025874290832915	0.016180739633321166	0.0031395710740614456	0.9416521324989573	-0.005983342062940328	0.006443859548756987	0.3035928259872199	-0.00021441302576592422	-0.01506722958742213	0.0031356131625986717	0.9455951395541553	-0.006421672461341733	0.005992846409809884	0.39789153439349845	-0.9311829946508765	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.962777029988832	0.9455951395541553	not_fdr_significant
tpm_overlap_gm	morphology / tissue	132	83	0.008265597547248468	-0.004497245447945934	-0.5440919936203549	0.001949049429448749	0.022676602947288838	-0.008354656164179521	-0.0006398347317123471	0.20447228795816486	-0.002960051481119729	-0.3581170585912569	0.0019846968970989747	0.13842786634602125	-0.006888957217395471	0.0009688542551560125	0.285001443149409	0.6581921123455023	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.06683630342358815	0.3370417615381387	not_fdr_significant
tpm_overlap_wm	morphology / tissue	132	83	0.010666597399170051	-0.006239894880862205	-0.5849939439307722	0.002542086846746195	0.015478907547844416	-0.01127100024744525	-0.001208789514279161	0.1873808029508932	-0.00481888868471405	-0.4517737479328693	0.0026279520819752927	0.06913514614922874	-0.010021182306789285	0.0003834049373611856	0.24725414558018222	0.7722708117237055	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.05417617641745546	0.25872731213484773	not_fdr_significant
wm2max	intensity	132	83	0.066654792511669	-0.03155007417727461	-0.4733354195311801	0.015475806983576316	0.04359186984359454	-0.062178616890885455	-0.0009215314636637599	0.2287379458916321	-0.025764715230250416	-0.38653957591631366	0.01654438848923142	0.12198765164729408	-0.05851598467271689	0.006986554212216056	0.2359813284028749	0.8166293076042477	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.11624498624958544	0.3105140223749304	not_fdr_significant
