participant_id	session_id	bids_run	has_events_tsv	reconstruction_status	in_level1_session	can_reconstruct_complete_events	blockers
sub-004	ses-01	03	True	already_released	True	YES	
sub-025	ses-02	05	True	already_released	True	YES	
sub-025	ses-02	07	True	already_released	True	YES	
sub-025	ses-02	01	True	already_released	True	YES	
sub-025	ses-02	03	True	already_released	True	YES	
sub-025	ses-01	09	False	reconstructable_with_mapping_fix	True	YES	
sub-025	ses-01	03	True	already_released	True	YES	
sub-025	ses-01	01	True	already_released	True	YES	
sub-025	ses-01	07	False	reconstructable_with_mapping_fix	True	YES	
sub-025	ses-01	05	True	already_released	True	YES	
sub-052	ses-01	01	True	already_released	True	YES	
sub-052	ses-01	03	True	already_released	True	YES	
sub-052	ses-01	05	True	already_released	True	YES	
sub-052	ses-01	07	True	already_released	True	YES	
sub-052	ses-02	07	True	already_released	True	YES	
sub-052	ses-02	05	True	already_released	True	YES	
sub-052	ses-02	03	True	already_released	True	YES	
sub-052	ses-02	01	True	already_released	True	YES	
sub-058	ses-01	01	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-058	ses-01	03	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-058	ses-01	05	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-058	ses-01	07	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-060	ses-01	03	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-060	ses-01	01	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-060	ses-01	07	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-060	ses-01	05	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-017	ses-01	05	True	already_released	True	YES	
sub-017	ses-01	07	True	already_released	True	YES	
sub-017	ses-01	01	True	already_released	True	YES	
sub-017	ses-01	03	True	already_released	True	YES	
sub-017	ses-02	03	True	already_released	True	YES	
sub-017	ses-02	01	True	already_released	True	YES	
sub-017	ses-02	07	True	already_released	True	YES	
sub-017	ses-02	05	True	already_released	True	YES	
sub-084	ses-01	01	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-084	ses-01	03	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-084	ses-01	05	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-084	ses-01	07	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-010	ses-01	01	True	already_released	True	YES	
sub-010	ses-01	03	True	already_released	True	YES	
sub-010	ses-01	05	True	already_released	True	YES	
sub-010	ses-01	07	True	already_released	True	YES	
sub-067	ses-01	05	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-067	ses-01	07	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-067	ses-01	01	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-067	ses-01	03	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-083	ses-01	03	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-083	ses-01	01	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-083	ses-01	07	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-083	ses-01	05	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-083	ses-01	09	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-055	ses-01	01	True	already_released	True	YES	
sub-055	ses-01	03	True	already_released	True	YES	
sub-055	ses-01	05	True	already_released	True	YES	
sub-055	ses-01	07	True	already_released	True	YES	
sub-022	ses-01	01	True	already_released	True	YES	
sub-022	ses-01	03	True	already_released	True	YES	
sub-022	ses-01	05	True	already_released	True	YES	
sub-022	ses-01	07	True	already_released	True	YES	
sub-022	ses-02	01	True	already_released	True	YES	
sub-022	ses-02	03	True	already_released	True	YES	
sub-022	ses-02	05	True	already_released	True	YES	
sub-022	ses-02	07	True	already_released	True	YES	
sub-028	ses-01	03	True	already_released	True	YES	
sub-028	ses-01	01	True	already_released	True	YES	
sub-028	ses-01	07	True	already_released	True	YES	
sub-028	ses-01	05	True	already_released	True	YES	
sub-028	ses-02	08	True	already_released	True	YES	
sub-028	ses-02	02	True	already_released	True	YES	
sub-028	ses-02	06	True	already_released	True	YES	
sub-028	ses-02	04	True	already_released	True	YES	
sub-009	ses-02	01	True	already_released	True	YES	
sub-009	ses-02	03	True	already_released	True	YES	
sub-009	ses-02	05	True	already_released	True	YES	
sub-009	ses-02	07	True	already_released	True	YES	
sub-009	ses-01	03	True	already_released	True	YES	
sub-009	ses-01	01	True	already_released	True	YES	
sub-009	ses-01	07	True	already_released	True	YES	
sub-009	ses-01	05	True	already_released	True	YES	
sub-003	ses-01	05	True	already_released	True	YES	
sub-003	ses-01	07	True	already_released	True	YES	
sub-003	ses-01	01	True	already_released	True	YES	
sub-003	ses-01	03	True	already_released	True	YES	
sub-003	ses-02	07	True	already_released	True	YES	
sub-003	ses-02	05	True	already_released	True	YES	
sub-003	ses-02	03	True	already_released	True	YES	
sub-003	ses-02	01	True	already_released	True	YES	
sub-074	ses-01	05	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-074	ses-01	07	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-074	ses-01	01	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-074	ses-01	03	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-046	ses-02	03	True	already_released	True	YES	
sub-046	ses-02	01	True	already_released	True	YES	
sub-046	ses-02	07	True	already_released	True	YES	
sub-046	ses-02	05	True	already_released	True	YES	
sub-046	ses-01	05	True	already_released	True	YES	
sub-046	ses-01	07	False	reconstructable_with_mapping_fix	True	YES	
sub-046	ses-01	01	True	already_released	True	YES	
sub-046	ses-01	03	True	already_released	True	YES	
sub-046	ses-01	09	False	reconstructable_with_mapping_fix	True	YES	
sub-031	ses-02	01	True	already_released	True	YES	
sub-031	ses-02	03	True	already_released	True	YES	
sub-031	ses-02	05	True	already_released	True	YES	
sub-031	ses-02	07	True	already_released	True	YES	
sub-031	ses-01	01	True	already_released	True	YES	
sub-031	ses-01	03	True	already_released	True	YES	
sub-031	ses-01	05	True	already_released	True	YES	
sub-031	ses-01	07	True	already_released	True	YES	
sub-001	ses-02	07	True	already_released	True	YES	
sub-001	ses-02	05	True	already_released	True	YES	
sub-001	ses-02	03	True	already_released	True	YES	
sub-001	ses-02	01	True	already_released	True	YES	
sub-001	ses-01	05	True	already_released	True	YES	
sub-001	ses-01	07	True	already_released	True	YES	
sub-001	ses-01	01	True	already_released	True	YES	
sub-001	ses-01	03	True	already_released	True	YES	
sub-076	ses-01	03	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-076	ses-01	01	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-076	ses-01	07	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-076	ses-01	05	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-039	ses-01	03	True	already_released	True	YES	
sub-039	ses-01	01	True	already_released	True	YES	
sub-039	ses-01	07	True	already_released	True	YES	
sub-039	ses-01	05	True	already_released	True	YES	
sub-039	ses-02	03	True	already_released	True	YES	
sub-039	ses-02	01	True	already_released	True	YES	
sub-039	ses-02	07	True	already_released	True	YES	
sub-039	ses-02	05	True	already_released	True	YES	
sub-044	ses-02	01	True	already_released	True	YES	
sub-044	ses-02	03	True	already_released	True	YES	
sub-044	ses-02	05	True	already_released	True	YES	
sub-044	ses-02	07	True	already_released	True	YES	
sub-044	ses-01	05	True	already_released	True	YES	
sub-044	ses-01	07	True	already_released	True	YES	
sub-044	ses-01	01	True	already_released	True	YES	
sub-044	ses-01	03	True	already_released	True	YES	
sub-033	ses-01	07	True	already_released	True	YES	
