priority_basis	rank	image_identifier	subject	session	run	filename	model_estimated_artifact_probability	model_uncertainty	model_confidence	image_path
high_model_estimated_artifact_probability	72	sub-040_ses-01_run-01_T1w.nii.gz	sub-040	ses-01	01	sub-040_ses-01_run-01_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-040/ses-01/anat/sub-040_ses-01_run-01_T1w.nii.gz
high_model_estimated_artifact_probability	73	sub-039_ses-02_run-01_T1w.nii.gz	sub-039	ses-02	01	sub-039_ses-02_run-01_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-039/ses-02/anat/sub-039_ses-02_run-01_T1w.nii.gz
high_model_estimated_artifact_probability	74	sub-038_ses-02_run-03_T1w.nii.gz	sub-038	ses-02	03	sub-038_ses-02_run-03_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-038/ses-02/anat/sub-038_ses-02_run-03_T1w.nii.gz
high_model_estimated_artifact_probability	75	sub-038_ses-01_run-03_T1w.nii.gz	sub-038	ses-01	03	sub-038_ses-01_run-03_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-038/ses-01/anat/sub-038_ses-01_run-03_T1w.nii.gz
high_model_estimated_artifact_probability	76	sub-037_ses-01_run-03_T1w.nii.gz	sub-037	ses-01	03	sub-037_ses-01_run-03_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-037/ses-01/anat/sub-037_ses-01_run-03_T1w.nii.gz
high_model_estimated_artifact_probability	77	sub-036_ses-02_run-03_T1w.nii.gz	sub-036	ses-02	03	sub-036_ses-02_run-03_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-036/ses-02/anat/sub-036_ses-02_run-03_T1w.nii.gz
high_model_estimated_artifact_probability	78	sub-036_ses-01_run-03_T1w.nii.gz	sub-036	ses-01	03	sub-036_ses-01_run-03_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-036/ses-01/anat/sub-036_ses-01_run-03_T1w.nii.gz
high_model_estimated_artifact_probability	79	sub-036_ses-01_run-01_T1w.nii.gz	sub-036	ses-01	01	sub-036_ses-01_run-01_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-036/ses-01/anat/sub-036_ses-01_run-01_T1w.nii.gz
high_model_estimated_artifact_probability	80	sub-035_ses-01_run-03_T1w.nii.gz	sub-035	ses-01	03	sub-035_ses-01_run-03_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-035/ses-01/anat/sub-035_ses-01_run-03_T1w.nii.gz
high_model_estimated_artifact_probability	81	sub-034_ses-02_run-03_T1w.nii.gz	sub-034	ses-02	03	sub-034_ses-02_run-03_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-034/ses-02/anat/sub-034_ses-02_run-03_T1w.nii.gz
high_model_estimated_artifact_probability	82	sub-034_ses-02_run-02_T1w.nii.gz	sub-034	ses-02	02	sub-034_ses-02_run-02_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-034/ses-02/anat/sub-034_ses-02_run-02_T1w.nii.gz
high_model_estimated_artifact_probability	83	sub-034_ses-02_run-01_T1w.nii.gz	sub-034	ses-02	01	sub-034_ses-02_run-01_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-034/ses-02/anat/sub-034_ses-02_run-01_T1w.nii.gz
high_model_estimated_artifact_probability	84	sub-034_ses-01_run-03_T1w.nii.gz	sub-034	ses-01	03	sub-034_ses-01_run-03_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-034/ses-01/anat/sub-034_ses-01_run-03_T1w.nii.gz
high_model_estimated_artifact_probability	85	sub-032_ses-01_run-03_T1w.nii.gz	sub-032	ses-01	03	sub-032_ses-01_run-03_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-032/ses-01/anat/sub-032_ses-01_run-03_T1w.nii.gz
high_model_estimated_artifact_probability	86	sub-031_ses-02_run-03_T1w.nii.gz	sub-031	ses-02	03	sub-031_ses-02_run-03_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-031/ses-02/anat/sub-031_ses-02_run-03_T1w.nii.gz
high_model_estimated_artifact_probability	87	sub-031_ses-02_run-02_T1w.nii.gz	sub-031	ses-02	02	sub-031_ses-02_run-02_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-031/ses-02/anat/sub-031_ses-02_run-02_T1w.nii.gz
high_model_estimated_artifact_probability	88	sub-031_ses-01_run-03_T1w.nii.gz	sub-031	ses-01	03	sub-031_ses-01_run-03_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-031/ses-01/anat/sub-031_ses-01_run-03_T1w.nii.gz
high_model_estimated_artifact_probability	89	sub-030_ses-01_run-03_T1w.nii.gz	sub-030	ses-01	03	sub-030_ses-01_run-03_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-030/ses-01/anat/sub-030_ses-01_run-03_T1w.nii.gz
high_model_estimated_artifact_probability	90	sub-029_ses-01_run-03_T1w.nii.gz	sub-029	ses-01	03	sub-029_ses-01_run-03_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-029/ses-01/anat/sub-029_ses-01_run-03_T1w.nii.gz
high_model_estimated_artifact_probability	91	sub-028_ses-02_run-03_T1w.nii.gz	sub-028	ses-02	03	sub-028_ses-02_run-03_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-028/ses-02/anat/sub-028_ses-02_run-03_T1w.nii.gz
