subject	session	run	task	series_description	bids_target	timing_source	timing_variables	status	confidence
sub-020	ses-01	03	control	Control2_AP	sub-020_ses-01_task-control_run-03_bold	September-09-2023_11-13-01_AM__scan_info_for_subject_c21__selected_run_is_2__fmri_number_is3.mat;fMRI_3.mat;runs_random.mat	triggerTimes;vbl;Stim_order_selected;paradigm;vbl	READY	high
sub-020	ses-01	04	control	Control2_AP	sub-020_ses-01_task-control_run-04_bold	September-09-2023_11-17-14_AM__scan_info_for_subject_c21__selected_run_is_5__fmri_number_is4.mat;fMRI_4.mat;runs_random.mat	triggerTimes;vbl;Stim_order_selected;paradigm;vbl	READY	high
sub-020	ses-01	05	control	Control3_PA	sub-020_ses-01_task-control_run-05_bold	runs_random.mat	paradigm;vbl	MISSING_TIMING	low
sub-020	ses-01	06	control	Control3_PA	sub-020_ses-01_task-control_run-06_bold	runs_random.mat	paradigm;vbl	MISSING_TIMING	low
sub-020	ses-01	07	fmri	fMRI2_AP	sub-020_ses-01_task-fmri_run-07_bold	runs_random.mat	paradigm;vbl	MISSING_TIMING	low
sub-020	ses-01	08	fmri	fMRI2_AP	sub-020_ses-01_task-fmri_run-08_bold	runs_random.mat	paradigm;vbl	MISSING_TIMING	low
sub-021	ses-01	01	control	Control1_PA	sub-021_ses-01_task-control_run-01_bold	September-28-2023_ 1-48-01_PM__scan_info_for_subject_c022__selected_run_is_1__fmri_number_is1.mat;fMRI_1.mat;runs_random.mat	triggerTimes;vbl;Stim_order_selected;paradigm;vbl	READY	high
sub-021	ses-01	02	control	Control1_PA	sub-021_ses-01_task-control_run-02_bold	September-28-2023_ 1-53-04_PM__scan_info_for_subject_c022__selected_run_is_4__fmri_number_is2.mat;fMRI_2.mat;runs_random.mat	triggerTimes;vbl;Stim_order_selected;paradigm;vbl	READY	high
sub-021	ses-01	01	fmri	fMRI3_AP	sub-021_ses-01_task-fmri_run-01_bold	September-28-2023_ 1-48-01_PM__scan_info_for_subject_c022__selected_run_is_1__fmri_number_is1.mat;fMRI_1.mat;runs_random.mat	triggerTimes;vbl;Stim_order_selected;paradigm;vbl	READY	high
sub-021	ses-01	02	fmri	fMRI3_AP	sub-021_ses-01_task-fmri_run-02_bold	September-28-2023_ 1-53-04_PM__scan_info_for_subject_c022__selected_run_is_4__fmri_number_is2.mat;fMRI_2.mat;runs_random.mat	triggerTimes;vbl;Stim_order_selected;paradigm;vbl	READY	high
sub-021	ses-01	03	fmri	fMRI4_AP	sub-021_ses-01_task-fmri_run-03_bold	September-28-2023_ 1-58-35_PM__scan_info_for_subject_c022__selected_run_is_2__fmri_number_is3.mat;fMRI_3.mat;runs_random.mat	triggerTimes;vbl;Stim_order_selected;paradigm;vbl	READY	high
