subject	session	physio_uid	target_stem	target_bold_exists	target_already_has_trigger	start_time_missing	ambiguous
sub-014	ses-01	1.3.12.2.1107.5.2.43.166092.2023071914340839672672613.0.0.0	sub-014_ses-01_task-control_run-03	True	False	True	False
sub-014	ses-01	1.3.12.2.1107.5.2.43.166092.2023071914361941909480100.0.0.0	sub-014_ses-01_task-control_run-05	True	False	True	False
sub-014	ses-01	1.3.12.2.1107.5.2.43.166092.2023071913321385095124428.0.0.0	sub-014_ses-01_task-fmri_run-05	True	False	True	False
sub-014	ses-01	1.3.12.2.1107.5.2.43.166092.2023071913360176988505249.0.0.0	sub-014_ses-01_task-fmri_run-07	True	False	True	False
sub-014	ses-01	1.3.12.2.1107.5.2.43.166092.2023071913422896109593555.0.0.0	sub-014_ses-01_task-fmri_run-01	True	False	True	False
sub-014	ses-01	1.3.12.2.1107.5.2.43.166092.2023071913461845147074376.0.0.0	sub-014_ses-01_task-fmri_run-03	True	False	True	False
sub-014	ses-01	1.3.12.2.1107.5.2.43.166092.202307191352047537555197.0.0.0	sub-014_ses-01_task-movie_run-01	True	False	True	False
sub-014	ses-01	1.3.12.2.1107.5.2.43.166092.2023071913553812941930322.0.0.0	sub-014_ses-01_task-movie_run-03	True	False	True	False
sub-014	ses-01	1.3.12.2.1107.5.2.43.166092.2023071914004398061506171.0.0.0	sub-014_ses-01_task-movie_run-05	True	False	True	False
sub-014	ses-01	1.3.12.2.1107.5.2.43.166092.2023071914045239962881296.0.0.0	sub-014_ses-01_task-movie_run-07	True	False	True	False
sub-014	ses-01	1.3.12.2.1107.5.2.43.166092.2023071914104413660956421.0.0.0	sub-014_ses-01_task-rest_run-01	True	False	True	False
sub-015	ses-02	1.3.12.2.1107.5.2.43.166092.2024020817413823354643218.0.0.0	sub-015_ses-02_task-control_run-03	True	False	True	False
sub-015	ses-02	1.3.12.2.1107.5.2.43.166092.2024020817435975104550707.0.0.0	sub-015_ses-02_task-control_run-05	True	False	True	False
sub-016	ses-02	1.3.12.2.1107.5.2.43.166092.2024020710545929993057452.0.0.0	sub-016_ses-02_task-control_run-03	True	False	True	False
sub-016	ses-02	1.3.12.2.1107.5.2.43.166092.2024020710571465213464941.0.0.0	sub-016_ses-02_task-control_run-05	True	False	True	False
sub-017	ses-02	1.3.12.2.1107.5.2.43.166092.2024040910531297440248532.0.0.0	sub-017_ses-02_task-control_run-03	True	False	True	False
sub-017	ses-02	1.3.12.2.1107.5.2.43.166092.20240409105529427756021.0.0.0	sub-017_ses-02_task-control_run-05	True	False	True	False
sub-021	ses-02	1.3.12.2.1107.5.2.43.166092.2024032512342548531614002.0.0.0	sub-021_ses-02_task-control_run-03	True	False	True	False
sub-021	ses-02	1.3.12.2.1107.5.2.43.166092.202403251236428872522039.0.0.0	sub-021_ses-02_task-control_run-05	True	False	True	False
sub-021	ses-02	1.3.12.2.1107.5.2.43.166092.2024032512165220937997810.0.0.0				True	True
sub-022	ses-02	1.3.12.2.1107.5.2.43.166092.2024042216103398661093557.0.0.0	sub-022_ses-02_task-control_run-03	True	False	True	False
sub-022	ses-02	1.3.12.2.1107.5.2.43.166092.2024042216124952612501046.0.0.0	sub-022_ses-02_task-control_run-05	True	False	True	False
sub-024	ses-02	1.3.12.2.1107.5.2.43.166092.2024042311374017299110191.0.0.0	sub-024_ses-02_task-control_run-03	True	False	True	False
sub-024	ses-02	1.3.12.2.1107.5.2.43.166092.2024042311395271538717680.0.0.0	sub-024_ses-02_task-control_run-05	True	False	True	False
sub-026	ses-01	1.3.12.2.1107.5.2.43.166092.2023120110320349626348533.0.0.0	sub-026_ses-01_task-control_run-03	True	False	True	False
sub-026	ses-01	1.3.12.2.1107.5.2.43.166092.2023120110341875705656022.0.0.0	sub-026_ses-01_task-control_run-05	True	False	True	False
sub-028	ses-02	1.3.12.2.1107.5.2.43.166092.2024071413081138849248562.0.0.0	sub-028_ses-02_task-control_run-03	True	False	True	False
sub-028	ses-02	1.3.12.2.1107.5.2.43.166092.2024071413123152345156051.0.0.0	sub-028_ses-02_task-control_run-05	True	False	True	False
