bold_stem	subject	session	task	run	has_pulse	has_resp
sub-009_ses-01_task-control_run-05	sub-009	ses-01	control	05	0	0
sub-009_ses-01_task-fmri_run-01	sub-009	ses-01	fmri	01	0	0
sub-009_ses-01_task-fmri_run-03	sub-009	ses-01	fmri	03	0	0
sub-009_ses-01_task-fmri_run-05	sub-009	ses-01	fmri	05	0	0
sub-009_ses-01_task-fmri_run-07	sub-009	ses-01	fmri	07	0	0
sub-009_ses-01_task-movie_run-01	sub-009	ses-01	movie	01	0	0
sub-009_ses-01_task-movie_run-03	sub-009	ses-01	movie	03	0	0
sub-009_ses-01_task-movie_run-05	sub-009	ses-01	movie	05	0	0
sub-009_ses-01_task-movie_run-07	sub-009	ses-01	movie	07	0	0
sub-009_ses-01_task-rest_run-01	sub-009	ses-01	rest	01	0	0
sub-010_ses-01_task-control_run-01	sub-010	ses-01	control	01	0	0
sub-010_ses-01_task-control_run-03	sub-010	ses-01	control	03	0	0
sub-010_ses-01_task-control_run-05	sub-010	ses-01	control	05	0	0
sub-010_ses-01_task-fmri_run-01	sub-010	ses-01	fmri	01	0	0
sub-010_ses-01_task-fmri_run-03	sub-010	ses-01	fmri	03	0	0
sub-010_ses-01_task-fmri_run-05	sub-010	ses-01	fmri	05	0	0
sub-010_ses-01_task-fmri_run-07	sub-010	ses-01	fmri	07	0	0
sub-010_ses-01_task-movie_run-01	sub-010	ses-01	movie	01	0	0
sub-010_ses-01_task-movie_run-03	sub-010	ses-01	movie	03	0	0
sub-010_ses-01_task-rest_run-01	sub-010	ses-01	rest	01	0	0
sub-011_ses-01_task-control_run-01	sub-011	ses-01	control	01	0	0
sub-011_ses-01_task-control_run-03	sub-011	ses-01	control	03	0	0
sub-011_ses-01_task-control_run-05	sub-011	ses-01	control	05	0	0
sub-011_ses-01_task-fmri_run-01	sub-011	ses-01	fmri	01	0	0
sub-011_ses-01_task-fmri_run-03	sub-011	ses-01	fmri	03	0	0
sub-011_ses-01_task-fmri_run-05	sub-011	ses-01	fmri	05	0	0
sub-011_ses-01_task-fmri_run-07	sub-011	ses-01	fmri	07	0	0
sub-011_ses-01_task-fmri_run-09	sub-011	ses-01	fmri	09	0	0
sub-011_ses-01_task-movie_run-01	sub-011	ses-01	movie	01	0	0
sub-011_ses-01_task-movie_run-03	sub-011	ses-01	movie	03	0	0
sub-011_ses-01_task-movie_run-05	sub-011	ses-01	movie	05	0	0
sub-011_ses-01_task-movie_run-07	sub-011	ses-01	movie	07	0	0
sub-011_ses-01_task-rest_run-01	sub-011	ses-01	rest	01	0	0
sub-011_ses-02_task-control_run-03	sub-011	ses-02	control	03	0	0
sub-011_ses-02_task-control_run-05	sub-011	ses-02	control	05	0	0
sub-012_ses-01_task-control_run-01	sub-012	ses-01	control	01	0	0
sub-012_ses-01_task-control_run-03	sub-012	ses-01	control	03	0	0
sub-012_ses-01_task-control_run-05	sub-012	ses-01	control	05	0	0
sub-012_ses-01_task-fmri_run-01	sub-012	ses-01	fmri	01	0	0
sub-012_ses-01_task-fmri_run-03	sub-012	ses-01	fmri	03	0	0
sub-012_ses-01_task-fmri_run-05	sub-012	ses-01	fmri	05	0	0
sub-012_ses-01_task-fmri_run-07	sub-012	ses-01	fmri	07	0	0
sub-012_ses-01_task-fmri_run-09	sub-012	ses-01	fmri	09	0	0
sub-012_ses-01_task-movie_run-01	sub-012	ses-01	movie	01	0	0
sub-012_ses-01_task-movie_run-03	sub-012	ses-01	movie	03	0	0
sub-012_ses-01_task-movie_run-05	sub-012	ses-01	movie	05	0	0
sub-012_ses-01_task-movie_run-07	sub-012	ses-01	movie	07	0	0
sub-012_ses-01_task-rest_run-01	sub-012	ses-01	rest	01	0	0
sub-013_ses-01_task-control_run-01	sub-013	ses-01	control	01	0	0
sub-013_ses-01_task-control_run-03	sub-013	ses-01	control	03	0	0
sub-013_ses-01_task-control_run-05	sub-013	ses-01	control	05	0	0
sub-013_ses-01_task-fmri_run-01	sub-013	ses-01	fmri	01	0	0
sub-013_ses-01_task-fmri_run-03	sub-013	ses-01	fmri	03	0	0
sub-013_ses-01_task-fmri_run-05	sub-013	ses-01	fmri	05	0	0
sub-013_ses-01_task-fmri_run-07	sub-013	ses-01	fmri	07	0	0
sub-013_ses-01_task-movie_run-01	sub-013	ses-01	movie	01	0	0
sub-013_ses-01_task-movie_run-03	sub-013	ses-01	movie	03	0	0
sub-013_ses-01_task-movie_run-05	sub-013	ses-01	movie	05	0	0
sub-013_ses-01_task-movie_run-07	sub-013	ses-01	movie	07	0	0
sub-013_ses-01_task-rest_run-01	sub-013	ses-01	rest	01	0	0
sub-014_ses-01_task-control_run-01	sub-014	ses-01	control	01	0	0
sub-014_ses-01_task-control_run-03	sub-014	ses-01	control	03	0	0
sub-014_ses-01_task-control_run-05	sub-014	ses-01	control	05	0	0
sub-014_ses-01_task-fmri_run-01	sub-014	ses-01	fmri	01	0	0
sub-014_ses-01_task-fmri_run-03	sub-014	ses-01	fmri	03	0	0
sub-014_ses-01_task-fmri_run-05	sub-014	ses-01	fmri	05	0	0
sub-014_ses-01_task-fmri_run-07	sub-014	ses-01	fmri	07	0	0
sub-014_ses-01_task-movie_run-01	sub-014	ses-01	movie	01	0	0
sub-014_ses-01_task-movie_run-03	sub-014	ses-01	movie	03	0	0
sub-014_ses-01_task-movie_run-05	sub-014	ses-01	movie	05	0	0
sub-014_ses-01_task-movie_run-07	sub-014	ses-01	movie	07	0	0
sub-014_ses-01_task-rest_run-01	sub-014	ses-01	rest	01	0	0
sub-015_ses-02_task-control_run-03	sub-015	ses-02	control	03	0	0
sub-015_ses-02_task-control_run-05	sub-015	ses-02	control	05	0	0
sub-016_ses-02_task-control_run-03	sub-016	ses-02	control	03	0	0
sub-016_ses-02_task-control_run-05	sub-016	ses-02	control	05	0	0
sub-017_ses-02_task-control_run-03	sub-017	ses-02	control	03	0	0
sub-017_ses-02_task-control_run-05	sub-017	ses-02	control	05	0	0
sub-021_ses-02_task-control_run-03	sub-021	ses-02	control	03	0	0
sub-021_ses-02_task-control_run-05	sub-021	ses-02	control	05	0	0
